Title,ReleaseDate,Overview,VoteAverage,VoteCount,OriginalLanguage,Genres,Runtime,Tagline,Budget,Revenue,ProductionCompanies,ProductionCountries,SpokenLanguages,IMDBId
Mud,2013-04-26,Two boys find a fugitive hiding out on an island in the Mississippi River and form a pact to help him reunite with his lover and escape.,7.063,2717,en,Drama,130,Running from his past. Hiding from the law. Only one way out.,10000000,32613173,Everest Entertainment;FilmNation Entertainment;Brace Cove Productions,United States of America,English,tt1935179
Star Trek Into Darkness,2013-05-05,"When the crew of the Enterprise is called back home, they find an unstoppable force of terror from within their own organization has detonated the fleet and everything it stands for, leaving our world in a state of crisis.  With a personal score to settle, Captain Kirk leads a manhunt to a war-zone world to capture a one man weapon of mass destruction. As our heroes are propelled into an epic chess game of life and death, love will be challenged, friendships will be torn apart, and sacrifices must be made for the only family Kirk has left: his crew.",7.3,8955,en,Action;Adventure;Science Fiction,132,"Beyond the darkness, lies greatness.",190000000,467381584,Bad Robot;Paramount Pictures;Skydance Media,United States of America,English,tt1408101
The Great Gatsby,2013-05-09,"An adaptation of F. Scott Fitzgerald's Long Island-set novel, where Midwesterner Nick Carraway is lured into the lavish world of his neighbor, Jay Gatsby. Soon enough, however, Carraway will see through the cracks of Gatsby's nouveau riche existence, where obsession, madness, and tragedy await.",7.368,12032,en,Drama;Romance,143,Dream dangerously.,105000000,351040419,Warner Bros. Pictures;Village Roadshow Pictures;Bazmark;Red Wagon Entertainment;A&E Television Networks,United States of America;Australia,English,tt1343092
Epic,2013-05-15,A teenager finds herself transported to a deep forest setting where a battle between the forces of good and the forces of evil is taking place. She bands together with a rag-tag group characters in order to save their world—and ours.,6.518,2680,en,Animation;Adventure;Family;Fantasy,102,Discover a world beyond your imagination.,100000000,268426634,Blue Sky Studios;20th Century Fox Animation;20th Century Fox,United States of America,English,tt0848537
Frances Ha,2013-05-17,"An aspiring dancer moves to New York City and becomes caught up in a whirlwind of flighty fair-weather friends, diminishing fortunes and career setbacks.",7.396,1550,en,Comedy;Drama,86,"I’m not messy, I’m busy.",0,4069826,Scott Rudin Productions;RT Features;Pine District Pictures,Brazil;United States of America,English,tt2347569
Fast & Furious 6,2013-05-21,"Hobbs has Dominic and Brian reassemble their crew to take down a team of mercenaries; Dominic unexpectedly gets sidetracked with facing his presumed deceased girlfriend, Letty.",6.818,10423,en,Action;Thriller;Crime,131,All roads lead to this.,160000000,788700000,Relativity Media;Original Film;One Race,United States of America,广州话 / 廣州話;Nederlands;English;日本語;Pусский;Español,tt1905041
The Hangover Part III,2013-05-23,"This time, there's no wedding. No bachelor party. What could go wrong, right? But when the Wolfpack hits the road, all bets are off.",6.208,8467,en,Comedy,100,It all ends.,103000000,362000072,Green Hat Films;Legendary Pictures;BenderSpink,United States of America,English,tt1951261
Now You See Me,2013-05-29,An FBI agent and an Interpol detective track a team of illusionists who pull off bank heists during their performances and reward their audiences with the money.,7.342,15282,en,Thriller;Crime,116,"The closer you look, the less you’ll see.",75000000,351700000,Summit Entertainment;K/O Paper Products;SOIXAN7E QUIN5E;See Me Louisiana,United States of America;France,Français;English,tt1670345
Only God Forgives,2013-05-30,"Julian, who runs a Thai boxing club as a front organization for his family's drug smuggling operation, is forced by his mother Crystal to find and kill the individual responsible for his brother's recent death.",5.9,2364,en,Drama;Thriller;Crime,90,Time to meet the Devil.,4800000,10300000,Wild Bunch;Bold Films;Gaumont;Film i Väst;Space Rocket Nation;Motel Movies;Filmklubben production,Denmark;France;Sweden;United States of America,English;ภาษาไทย,tt1602613
After Earth,2013-05-30,"One thousand years after cataclysmic events forced humanity's escape from Earth, Nova Prime has become mankind's new home. Legendary General Cypher Raige returns from an extended tour of duty to his estranged family, ready to be a father to his 13-year-old son, Kitai. When an asteroid storm damages Cypher and Kitai's craft, they crash-land on a now unfamiliar and dangerous Earth. As his father lies dying in the cockpit, Kitai must trek across the hostile terrain to recover their rescue beacon. His whole life, Kitai has wanted nothing more than to be a soldier like his father. Today, he gets his chance.",5.193,6415,en,Science Fiction;Action;Adventure,100,"Danger is real, fear is a choice",130000000,243843127,Columbia Pictures;Overbrook Entertainment;Blinding Edge Pictures,United States of America,English,tt1815862
The Purge,2013-05-31,"Given the country's overcrowded prisons, the U.S. government begins to allow 12-hour periods of time in which all illegal activity is legal. During one of these free-for-alls, a family must protect themselves from a home invasion.",6.261,8230,en,Science Fiction;Horror;Thriller,86,"One night a year, all crime is legal.",3000000,89328627,Universal Pictures;Why Not Productions;Platinum Dunes;Blumhouse Productions,France;United States of America,English,tt2184339
The Internship,2013-06-07,Two recently laid-off men in their 40s try to make it as interns at a successful Internet company where their managers are in their 20s.,6.251,4084,en,Comedy,119,Hiring them was a brilliant mistake.,58000000,44000000,TSG Entertainment;Regency Enterprises;Wild West Picture Show Productions;21 Laps Entertainment;20th Century Fox,United States of America,English,tt2234155
Man of Steel,2013-06-12,"A young boy learns that he has extraordinary powers and is not of this earth. As a young man, he journeys to discover where he came from and what he was sent here to do. But the hero in him must emerge if he is to save the world from annihilation and become the symbol of hope for all mankind.",6.6,14889,en,Action;Adventure;Science Fiction,143,You will believe that a man can fly.,225000000,668045518,DC Entertainment;Syncopy;Peters Entertainment;Warner Bros. Pictures,United Kingdom;United States of America,English,tt0770828
This Is the End,2013-06-12,"While attending a party at James Franco's house, Seth Rogen, Jay Baruchel and many other celebrities are faced with the apocalypse.",6.225,6213,en,Action;Comedy,106,Nothing ruins a party like the end of the world.,32000000,126041322,Columbia Pictures;Mandate Pictures;Point Grey Pictures,United States of America,English,tt1245492
Stuck in Love,2013-06-14,"An acclaimed writer, his ex-wife, and their teenaged children come to terms with the complexities of love in all its forms over the course of one tumultuous year.",7.393,1869,en,Drama;Comedy,97,A story about first loves and second chances.,0,81071,Troy Entertainment;MICA Entertainment;The Solution;Informant Films,United States of America,English,tt2205697
World War Z,2013-06-19,"Life for former United Nations investigator Gerry Lane and his family seems content. Suddenly, the world is plagued by a mysterious infection turning whole human populations into rampaging mindless zombies. After barely escaping the chaos, Lane is persuaded to go on a mission to investigate this disease. What follows is a perilous trek around the world where Lane must brave horrific dangers and long odds to find answers before human civilization falls.",6.816,15101,en,Action;Drama;Horror;Science Fiction;Thriller,116,There will come a day when the world we know will end.,200000000,531865000,GK Films;Paramount Pictures;Hemisphere Media Capital;2DUX²;Apparatus Productions;Latina Pictures;Skydance Media;Plan B Entertainment;Mandate International,Malta;United Kingdom;United States of America,English,tt0816711
Monsters University,2013-06-19,A look at the relationship between Mike and Sulley during their days at Monsters University — when they weren't necessarily the best of friends.,7.04,10431,en,Animation;Family,104,School never looked this scary.,200000000,743600000,Pixar;Walt Disney Pictures,United States of America,English,tt1453405
Despicable Me 2,2013-06-26,Gru is recruited by the Anti-Villain League to help deal with a powerful new super criminal.,6.929,11047,en,Animation;Comedy;Family,98,"When the world needed a hero, they called a villain.",76000000,970766005,Illumination;Universal Pictures,United States of America,English;Español,tt1690953
White House Down,2013-06-27,"Capitol Policeman John Cale has just been denied his dream job with the Secret Service protecting President James Sawyer. Not wanting to let down his little girl with the news, he takes her on a tour of the White House, when the complex is overtaken by a heavily armed paramilitary group. Now, with the nation's government falling into chaos and time running out, it's up to Cale to save the president, his daughter, and the country.",6.463,4637,en,Action;Drama;Thriller,131,It will start like any other day.,150000000,205366737,Columbia Pictures;Mythology Entertainment;Centropolis Entertainment,United States of America,English,tt2334879
The Heat,2013-06-27,"Uptight and straight-laced, FBI Special Agent Sarah Ashburn is a methodical investigator with a reputation for excellence--and hyper-arrogance. Shannon Mullins, one of Boston P.D.'s ""finest,"" is foul-mouthed and has a very short fuse, and uses her gut instinct and street smarts to catch the most elusive criminals. Neither has ever had a partner, or a friend for that matter. When these two wildly incompatible law officers join forces to bring down a ruthless drug lord, they become the last thing anyone expected: buddies.",6.597,3851,en,Action;Comedy;Crime,117,They're just trying to stay alive long enough to kill each other.,43000000,158674180,Chernin Entertainment;TSG Entertainment;Ingenious Media;Big Screen Productions,United Kingdom;United States of America,English;Español;български език,tt2404463
Grown Ups 2,2013-07-11,"Lenny has relocated his family back to the small town where he and his friends grew up. This time around, the grown ups are the ones learning lessons from their kids on a day notoriously full of surprises—the last day of school.",6.137,4205,en,Comedy,101,Just because they're a little older doesn't mean they've grown up.,80000000,247022278,Columbia Pictures;Happy Madison Productions,United States of America,English,tt2191701
Pacific Rim,2013-07-11,"Using massive piloted robots to combat the alien threat, earth's survivors take the fight to the invading alien force lurking in the depths of the Pacific Ocean. Nearly defenseless in the face of the relentless enemy, the forces of mankind have no choice but to turn to two unlikely heroes who now stand as earth's final hope against the mounting apocalypse.",6.897,12184,en,Action;Science Fiction;Adventure,131,"To fight monsters, we created monsters.",180000000,411000000,Double Dare You (DDY);Legendary Pictures,United States of America,广州话 / 廣州話;English;日本語;Pусский,tt1663662
Kick-Ass 2,2013-07-17,"After Kick-Ass’ insane bravery inspires a new wave of self-made masked crusaders, he joins a patrol led by the Colonel Stars and Stripes. When these amateur superheroes are hunted down by Red Mist — reborn as The Mother Fucker — only the blade-wielding Hit-Girl can prevent their annihilation.",6.398,6046,en,Action;Adventure;Crime,103,You Can't Fight Your Destiny.,28000000,60700000,Marv;Universal Pictures;dentsu,Japan;United Kingdom,English,tt1650554
The Conjuring,2013-07-18,"Paranormal investigators Ed and Lorraine Warren work to help a family terrorized by a dark presence in their farmhouse. Forced to confront a powerful entity, the Warrens find themselves caught in the most terrifying case of their lives.",7.545,11284,en,Horror;Thriller,112,Based on the true case files of the Warrens,13000000,320400000,Evergreen Media Group;New Line Cinema;The Safran Company,United States of America,English,tt1457767
R.I.P.D.,2013-07-18,A recently slain cop joins a team of undead police officers working for the Rest in Peace Department and tries to find the man who murdered him.,5.836,3902,en,Fantasy;Action;Comedy,96,To protect and serve the living.,130000000,61600000,Universal Pictures;Dark Horse Entertainment;Original Film,United States of America,English,tt0790736
The World's End,2013-07-18,Five friends who reunite in an attempt to top their epic pub crawl from 20 years earlier unwittingly become humankind's only hope for survival.,6.801,5273,en,Comedy;Action;Science Fiction,109,Good food. Fine ales. Total Annihilation.,20000000,46100000,Big Talk Studios;Working Title Films;Relativity Media;Working Title Films,United Kingdom;United States of America,English,tt1213663
RED 2,2013-07-18,Retired C.I.A. agent Frank Moses reunites his unlikely team of elite operatives for a global quest to track down a missing portable nuclear device.,6.5,3933,en,Action;Comedy;Crime;Thriller,116,The best never rest.,84000000,148100000,di Bonaventura Pictures;Summit Entertainment;DC;DC Entertainment;Saints LA;NeoReel,Canada;France;United States of America,English;Français;Pусский,tt1821694
